Station,Longitude,Latitude
Laranjeiras,-40.245036981335254,-20.19632616651576
Carapina,-40.25462736200556,-20.232306856744515
Camburi,-40.269500000,-20.2553333333
Suá ,-40.29051597840257,-20.313683772323063
VixCentro,-40.33280217735461,-20.32085628071873
Ibes,-40.31699862786444,-20.349019174067276
VVCentro,-40.28986483972019,-20.336799096558323
Cariacica ,-40.40156991111611,-20.342470689019738
